Source,Target,Weight
spring-cloud/spring-cloud-netflix,spring-projects/spring-boot,10
spring-projects/spring-boot,spring-cloud/spring-cloud-netflix,10
spring-projects/spring-boot,spring-projects/spring-framework,9
spring-projects/spring-framework,spring-projects/spring-boot,9
confluentinc/ksql,apache/kafka,7
apache/kafka,confluentinc/ksql,7
square/okhttp,square/retrofit,6
square/retrofit,square/okhttp,6
alibaba/druid,alibaba/fastjson,5
google/auto,google/guava,5
google/guava,google/auto,5
alibaba/fastjson,alibaba/druid,5
spring-cloud/spring-cloud-netflix,Netflix/zuul,4
apache/beam,apache/flink,4
zo0r/react-native-push-notification,wix/react-native-navigation,4
Netflix/zuul,spring-cloud/spring-cloud-netflix,4
wix/react-native-navigation,zo0r/react-native-push-notification,4
google/guice,google/guava,4
google/ExoPlayer,square/okhttp,4
google/gson,square/okhttp,4
square/retrofit,square/moshi,4
google/guava,google/guice,4
spring-projects/spring-framework,spring-cloud/spring-cloud-netflix,4
square/okhttp,google/ExoPlayer,4
square/moshi,square/retrofit,4
square/okhttp,google/gson,4
apache/flink,apache/beam,4
spring-cloud/spring-cloud-netflix,spring-projects/spring-framework,4
apache/storm,apache/kafka,3
openzipkin/zipkin,spring-projects/spring-boot,3
google/auto,bazelbuild/bazel,3
JakeWharton/butterknife,JakeWharton/timber,3
square/retrofit,google/gson,3
google/auto,google/guice,3
google/auto,square/javapoet,3
react-native-community/react-native-svg,react-native-community/react-native-camera,3
rzwitserloot/lombok,FasterXML/jackson-databind,3
react-native-community/react-native-camera,wix/react-native-navigation,3
JakeWharton/butterknife,facebook/buck,3
google/guava,bazelbuild/bazel,3
spring-cloud/spring-cloud-netflix,Netflix/eureka,3
ReactiveX/RxJava,netty/netty,3
bazelbuild/bazel,google/auto,3
FasterXML/jackson-databind,spring-projects/spring-boot,3
spotify/helios,spotify/docker-maven-plugin,3
netty/netty,square/okhttp,3
CarGuo/GSYVideoPlayer,lipangit/JiaoZiVideoPlayer,3
Netflix/Hystrix,spring-cloud/spring-cloud-netflix,3
JakeWharton/timber,JakeWharton/butterknife,3
apache/incubator-skywalking,raphw/byte-buddy,3
square/javapoet,google/auto,3
grpc/grpc-java,netty/netty,3
mockito/mockito,junit-team/junit5,3
square/javapoet,square/dagger,3
DylanVann/react-native-fast-image,wix/react-native-navigation,3
spring-projects/spring-boot,codecentric/spring-boot-admin,3
mikepenz/FastAdapter,bumptech/glide,3
bumptech/glide,mikepenz/FastAdapter,3
spring-projects/spring-boot,openzipkin/zipkin,3
square/moshi,google/gson,3
square/moshi,square/okhttp,3
spring-projects/spring-boot,FasterXML/jackson-databind,3
react-native-community/react-native-camera,react-native-community/react-native-video,3
junit-team/junit5,mockito/mockito,3
square/dagger,square/javapoet,3
Netflix/eureka,spring-cloud/spring-cloud-netflix,3
spotify/docker-maven-plugin,spotify/helios,3
FasterXML/jackson-databind,rzwitserloot/lombok,3
google/gson,square/retrofit,3
react-native-community/react-native-video,react-native-community/react-native-camera,3
raphw/byte-buddy,apache/incubator-skywalking,3
spring-projects/spring-boot,junit-team/junit5,3
junit-team/junit5,spring-projects/spring-boot,3
netty/netty,spring-projects/spring-boot,3
bazelbuild/bazel,google/guava,3
codecentric/spring-boot-admin,spring-projects/spring-boot,3
square/okhttp,square/moshi,3
spring-cloud/spring-cloud-netflix,Netflix/Hystrix,3
google/gson,square/moshi,3
react-native-community/react-native-camera,react-native-community/react-native-svg,3
spring-projects/spring-boot,netty/netty,3
wix/react-native-navigation,DylanVann/react-native-fast-image,3
netty/netty,ReactiveX/RxJava,3
facebook/buck,JakeWharton/butterknife,3
wix/react-native-navigation,react-native-community/react-native-camera,3
square/okhttp,netty/netty,3
netty/netty,grpc/grpc-java,3
apache/kafka,apache/storm,3
lipangit/JiaoZiVideoPlayer,CarGuo/GSYVideoPlayer,3
google/guice,google/auto,3
spring-projects/spring-petclinic,spring-projects/spring-boot,2
spring-projects/spring-boot,spring-projects/spring-data-examples,2
springfox/springfox,lettuce-io/lettuce-core,2
mockito/mockito,raphw/byte-buddy,2
alibaba/jvm-sandbox,oldmanpushcart/greys-anatomy,2
Activiti/Activiti,springfox/springfox,2
reactor/reactor-core,spring-cloud/spring-cloud-netflix,2
mikepenz/FastAdapter,ACRA/acra,2
square/javapoet,square/moshi,2
square/okhttp,ReactiveX/RxJava,2
square/javapoet,square/okhttp,2
ReactiveX/RxJava,reactor/reactor-core,2
google/gson,MinecraftForge/MinecraftForge,2
lipangit/JiaoZiVideoPlayer,scwang90/SmartRefreshLayout,2
b3log/symphony,b3log/solo,2
eclipse/jetty.project,spring-projects/spring-boot,2
square/javapoet,JakeWharton/timber,2
lettuce-io/lettuce-core,springfox/springfox,2
reactor/reactor-core,ReactiveX/RxJava,2
junit-team/junit5,spring-projects/spring-framework,2
square/okhttp,square/leakcanary,2
springfox/springfox,spring-projects/spring-boot,2
springfox/springfox,alibaba/fastjson,2
ReactiveX/RxJava,ReactiveX/RxAndroid,2
alibaba/druid,alibaba/canal,2
bluelinelabs/Conductor,ReactiveX/RxJava,2
raphw/byte-buddy,mockito/mockito,2
facebook/react-native-fbsdk,react-native-community/react-native-svg,2
facebook/facebook-android-sdk,facebook/react-native-fbsdk,2
square/picasso,square/moshi,2
spring-projects/spring-boot,cglib/cglib,2
square/javapoet,square/retrofit,2
googlesamples/easypermissions,firebase/quickstart-android,2
neo4j/neo4j,junit-team/junit5,2
grpc/grpc-java,bazelbuild/bazel,2
springfox/springfox,junit-team/junit5,2
spring-projects/spring-boot,spring-projects/spring-petclinic,2
apereo/cas,Activiti/Activiti,2
ReactiveX/RxAndroid,ReactiveX/RxJava,2
pagehelper/Mybatis-PageHelper,abel533/Mapper,2
mybatis/spring-boot-starter,spring-projects/spring-boot,2
bumptech/glide,realm/realm-java,2
rzwitserloot/lombok,google/guava,2
lingochamp/FileDownloader,CarGuo/GSYVideoPlayer,2
google/gson,square/picasso,2
oldmanpushcart/greys-anatomy,alibaba/jvm-sandbox,2
Netflix/zuul,Netflix/Hystrix,2
zo0r/react-native-push-notification,react-native-community/react-native-camera,2
google/gson,square/javapoet,2
ReactiveX/RxAndroid,JakeWharton/ThreeTenABP,2
cglib/cglib,spring-projects/spring-boot,2
junit-team/junit5,springfox/springfox,2
google/guice,google/gson,2
testcontainers/testcontainers-java,spring-projects/spring-boot,2
hankcs/HanLP,NLPchina/ansj_seg,2
spring-projects/spring-boot,reactor/reactor-core,2
Netflix/Hystrix,Netflix/zuul,2
square/picasso,square/okhttp,2
JakeWharton/timber,square/javapoet,2
bazelbuild/bazel,grpc/grpc-java,2
NLPchina/ansj_seg,hankcs/HanLP,2
square/leakcanary,square/okhttp,2
mikepenz/MaterialDrawer,mikepenz/FastAdapter,2
google/guava,google/gson,2
square/moshi,JakeWharton/ThreeTenABP,2
alibaba/canal,alibaba/druid,2
immutables/immutables,google/guava,2
spockframework/spock,junit-team/junit5,2
square/moshi,square/javapoet,2
ReactiveX/RxJava,bumptech/glide,2
JakeWharton/timber,ReactiveX/RxJava,2
square/moshi,bumptech/glide,2
square/javapoet,ReactiveX/RxJava,2
spring-projects/spring-boot,querydsl/querydsl,2
bazelbuild/bazel,google/guice,2
facebook/buck,facebook/litho,2
oblac/jodd,apache/jmeter,2
ReactiveX/RxJava,square/retrofit,2
ReactiveX/RxJava,JakeWharton/butterknife,2
spring-cloud/spring-cloud-netflix,codecentric/spring-boot-admin,2
greenrobot/EventBus,greenrobot/greenDAO,2
bytedeco/javacpp,deeplearning4j/deeplearning4j,2
square/retrofit,ReactiveX/RxJava,2
ReactiveX/RxJava,bluelinelabs/Conductor,2
apache/jmeter,oblac/jodd,2
TechEmpower/FrameworkBenchmarks,hibernate/hibernate-orm,2
square/retrofit,square/picasso,2
YoKeyword/Fragmentation,Blankj/AndroidUtilCode,2
springfox/springfox,Activiti/Activiti,2
spring-projects/spring-data-examples,spring-projects/spring-boot,2
google/guice,bazelbuild/bazel,2
ACRA/acra,mikepenz/FastAdapter,2
bumptech/glide,square/moshi,2
elastic/elasticsearch,netty/netty,2
JakeWharton/timber,square/leakcanary,2
apache/incubator-skywalking,ctripcorp/apollo,2
apache/flink,apache/kafka,2
spring-projects/spring-boot,flyway/flyway,2
JakeWharton/ThreeTenABP,square/moshi,2
react-native-community/react-native-camera,facebook/react-native-fbsdk,2
google/gson,google/guava,2
eclipse/jetty.project,FasterXML/jackson-databind,2
deeplearning4j/deeplearning4j,bytedeco/javacpp,2
codecentric/spring-boot-admin,spring-cloud/spring-cloud-netflix,2
react-native-community/react-native-svg,facebook/react-native-fbsdk,2
deeplearning4j/deeplearning4j,bytedeco/javacv,2
facebook/react-native-fbsdk,react-native-community/react-native-camera,2
Blankj/AndroidUtilCode,YoKeyword/Fragmentation,2
square/okhttp,square/picasso,2
b3log/solo,b3log/symphony,2
facebook/litho,facebook/buck,2
google/auto,square/dagger,2
square/picasso,square/retrofit,2
apache/zookeeper,apache/storm,2
apache/storm,apache/zookeeper,2
apache/kafka,apache/flink,2
apache/zookeeper,apache/kafka,2
objectbox/objectbox-java,greenrobot/greenDAO,2
JakeWharton/ThreeTenABP,ReactiveX/RxAndroid,2
ReactiveX/RxJava,square/okhttp,2
ctripcorp/apollo,apache/incubator-skywalking,2
square/okhttp,bumptech/glide,2
objectbox/objectbox-java,greenrobot/EventBus,2
JakeWharton/butterknife,ReactiveX/RxJava,2
JakeWharton/timber,square/moshi,2
dropwizard/dropwizard,dropwizard/metrics,2
lettuce-io/lettuce-core,spring-projects/spring-boot,2
realm/realm-java,bumptech/glide,2
square/retrofit,square/javapoet,2
google/auto,google/gson,2
ReactiveX/RxJava,square/javapoet,2
square/dagger,google/auto,2
CymChad/BaseRecyclerViewAdapterHelper,zzhoujay/RichText,2
junit-team/junit5,neo4j/neo4j,2
flyway/flyway,spring-projects/spring-boot,2
google/ExoPlayer,firebase/quickstart-android,2
square/picasso,google/ExoPlayer,2
facebook/react-native-fbsdk,facebook/facebook-android-sdk,2
spring-projects/spring-petclinic,spring-cloud/spring-cloud-netflix,2
square/picasso,google/gson,2
square/leakcanary,JakeWharton/timber,2
greenrobot/greenDAO,objectbox/objectbox-java,2
JakeWharton/butterknife,square/javapoet,2
greenrobot/EventBus,objectbox/objectbox-java,2
MinecraftForge/MinecraftForge,google/gson,2
bytedeco/javacv,deeplearning4j/deeplearning4j,2
firebase/quickstart-android,googlesamples/google-services,2
spring-projects/spring-boot,testcontainers/testcontainers-java,2
netty/netty,elastic/elasticsearch,2
alibaba/fastjson,springfox/springfox,2
firebase/quickstart-android,google/ExoPlayer,2
querydsl/querydsl,spring-projects/spring-boot,2
square/okhttp,square/javapoet,2
Netflix/Hystrix,Netflix/eureka,2
apache/kafka,apache/zookeeper,2
google/ExoPlayer,square/picasso,2
mikepenz/FastAdapter,mikepenz/MaterialDrawer,2
abel533/Mapper,pagehelper/Mybatis-PageHelper,2
spring-projects/spring-boot,mybatis/spring-boot-starter,2
dropwizard/metrics,dropwizard/dropwizard,2
Netflix/eureka,Netflix/Hystrix,2
yanzhenjie/AndPermission,yanzhenjie/Album,2
firebase/quickstart-android,googlesamples/easypermissions,2
react-native-community/react-native-camera,zo0r/react-native-push-notification,2
greenrobot/greenDAO,greenrobot/EventBus,2
googlesamples/google-services,firebase/quickstart-android,2
spring-projects/spring-boot,lettuce-io/lettuce-core,2
reactor/reactor-core,spring-projects/spring-boot,2
ReactiveX/RxJava,JakeWharton/timber,2
square/moshi,JakeWharton/timber,2
junit-team/junit5,spockframework/spock,2
bumptech/glide,ReactiveX/RxJava,2
square/javapoet,google/gson,2
yanzhenjie/Album,yanzhenjie/AndPermission,2
google/guava,rzwitserloot/lombok,2
zzhoujay/RichText,CymChad/BaseRecyclerViewAdapterHelper,2
spring-cloud/spring-cloud-netflix,spring-projects/spring-petclinic,2
CarGuo/GSYVideoPlayer,lingochamp/FileDownloader,2
Activiti/Activiti,apereo/cas,2
spring-projects/spring-boot,eclipse/jetty.project,2
square/javapoet,JakeWharton/butterknife,2
bumptech/glide,square/okhttp,2
spring-cloud/spring-cloud-netflix,reactor/reactor-core,2
spring-projects/spring-framework,junit-team/junit5,2
spring-projects/spring-boot,springfox/springfox,2
hibernate/hibernate-orm,TechEmpower/FrameworkBenchmarks,2
google/gson,google/auto,2
square/moshi,square/picasso,2
google/guava,immutables/immutables,2
FasterXML/jackson-databind,eclipse/jetty.project,2
scwang90/SmartRefreshLayout,lipangit/JiaoZiVideoPlayer,2
google/gson,google/guice,2
greenrobot/EventBus,chennaione/sugar,1
apache/lucene-solr,apache/flink,1
apache/rocketmq,NanoHttpd/nanohttpd,1
JakeWharton/ThreeTenABP,google/auto,1
google/guava,java-native-access/jna,1
Activiti/Activiti,alibaba/atlas,1
Activiti/Activiti,junit-team/junit5,1
libgdx/libgdx,LWJGL/lwjgl3,1
apache/hive,libgdx/libgdx,1
razerdp/BasePopup,H07000223/FlycoTabLayout,1
naver/pinpoint,apache/jmeter,1
square/sqlbrite,ReactiveX/RxJava,1
mockito/mockito,spring-projects/spring-data-examples,1
firebase/quickstart-android,google/gson,1
apache/zookeeper,alibaba/jstorm,1
pwittchen/ReactiveNetwork,spring-cloud/spring-cloud-netflix,1
apache/lucene-solr,apache/ignite,1
pili-engineering/PLDroidPlayer,daniulive/SmarterStreaming,1
Bigkoo/Android-PickerView,JessYanCoding/ProgressManager,1
prestodb/presto,facebook/buck,1
futuresimple/android-floating-action-button,Karumi/Dexter,1
googlesamples/android-testing,google/closure-compiler,1
google/guice,square/dagger,1
json-path/JsonPath,netty/netty,1
Activiti/Activiti,Graylog2/graylog2-server,1
objectbox/objectbox-java,tbruyelle/RxPermissions,1
apache/storm,apache/jmeter,1
spring-projects/spring-boot,elastic/elasticsearch,1
pushtorefresh/storio,spotify/helios,1
apereo/cas,alibaba/jvm-sandbox,1
apache/kylin,apache/storm,1
Netflix/archaius,spring-projects/spring-boot,1
square/leakcanary,square/javapoet,1
dropwizard/metrics,spring-projects/spring-boot,1
mockito/mockito,koral--/android-gif-drawable,1
codecentric/spring-boot-admin,apereo/cas,1
Graylog2/graylog2-server,mockito/mockito,1
objectbox/objectbox-java,facebook/stetho,1
kabouzeid/Phonograph,TeamNewPipe/NewPipe,1
CymChad/BaseRecyclerViewAdapterHelper,CarGuo/GSYVideoPlayer,1
web3j/web3j,lettuce-io/lettuce-core,1
lipangit/JiaoZiVideoPlayer,Malinskiy/SuperRecyclerView,1
MinecraftForge/MinecraftForge,square/okhttp,1
naver/pinpoint,dropwizard/dropwizard,1
skylot/jadx,oblac/jodd,1
crate/crate,naver/pinpoint,1
JanusGraph/janusgraph,google/guava,1
rabbitmq/rabbitmq-tutorials,spring-projects/spring-framework,1
square/sqlbrite,JakeWharton/ThreeTenABP,1
junit-team/junit5,apache/beam,1
apache/hive,google/ExoPlayer,1
apache/tomcat,apache/kylin,1
shwenzhang/AndResGuard,bumptech/glide,1
square/picasso,square/sqlbrite,1
spockframework/spock,lettuce-io/lettuce-core,1
facebook/fresco,prestodb/presto,1
grpc/grpc-java,eclipse/jetty.project,1
square/leakcanary,square/tape,1
apache/cordova-android,reactor/reactor-core,1
H07000223/FlycoTabLayout,jdsjlzx/LRecyclerView,1
netty/netty,junit-team/junit5,1
apache/zeppelin,netty/netty,1
LuckSiege/PictureSelector,mcxtzhang/SwipeDelMenuLayout,1
ben-manes/caffeine,google/guice,1
realm/realm-java,ReactiveX/RxJava,1
MinecraftForge/MinecraftForge,spring-projects/spring-boot,1
square/okhttp,cymcsg/UltimateRecyclerView,1
naver/pinpoint,pushtorefresh/storio,1
Screetsec/TheFatRat,iBotPeaches/Apktool,1
square/retrofit,square/tape,1
oblac/jodd,spring-projects/spring-boot,1
alibaba/canal,alibaba/ARouter,1
google/guava,googlesamples/easypermissions,1
JakeWharton/ThreeTenABP,square/leakcanary,1
google/closure-compiler,googlesamples/android-testing,1
spring-projects/spring-boot,apache/jmeter,1
bluelinelabs/Conductor,PhilJay/MPAndroidChart,1
rzwitserloot/lombok,reactor/reactor-core,1
google/ExoPlayer,bumptech/glide,1
reactor/reactor-core,pushtorefresh/storio,1
JessYanCoding/MVPArms,luojilab/DDComponentForAndroid,1
alibaba/atlas,alibaba/ARouter,1
mockito/mockito,tomakehurst/wiremock,1
facebook/litho,prestodb/presto,1
LuckSiege/PictureSelector,goldze/MVVMHabit,1
aritraroy/UltimateAndroidReference,aritraroy/PatternLockView,1
rzwitserloot/lombok,bazelbuild/bazel,1
ReactiveX/RxAndroid,trello/RxLifecycle,1
apache/kylin,apache/kafka,1
scwang90/SmartRefreshLayout,luojilab/DDComponentForAndroid,1
yhaolpz/FloatWindow,CymChad/BaseRecyclerViewAdapterHelper,1
ctripcorp/apollo,codecentric/spring-boot-admin,1
apache/kafka,apache/lucene-solr,1
JakeWharton/butterknife,square/picasso,1
spockframework/spock,Activiti/Activiti,1
JakeWharton/butterknife,square/tape,1
pmd/pmd,JanusGraph/janusgraph,1
netty/netty,json-path/JsonPath,1
ReactiveX/RxJava,square/sqlbrite,1
spring-projects/spring-framework,rabbitmq/rabbitmq-tutorials,1
TeamNewPipe/NewPipe,kabouzeid/Phonograph,1
square/okhttp,googlesamples/easypermissions,1
TheAlgorithms/Java,sherxon/AlgoDS,1
NanoHttpd/nanohttpd,apache/flink,1
JakeWharton/butterknife,pmd/pmd,1
brettwooldridge/HikariCP,square/moshi,1
bumptech/glide,JakeWharton/ThreeTenABP,1
pushtorefresh/storio,pwittchen/ReactiveNetwork,1
Activiti/Activiti,MinecraftForge/MinecraftForge,1
web3j/web3j,spockframework/spock,1
pwittchen/ReactiveNetwork,apache/cordova-android,1
rest-assured/rest-assured,spring-projects/spring-data-examples,1
square/retrofit,square/sqlbrite,1
bumptech/glide,MinecraftForge/MinecraftForge,1
JakeWharton/ThreeTenABP,google/gson,1
mockito/mockito,crate/crate,1
google/gson,square/sqlbrite,1
bumptech/glide,TeamNewPipe/NewPipe,1
androidannotations/androidannotations,realm/realm-java,1
pedant/sweet-alert-dialog,lipangit/JiaoZiVideoPlayer,1
btraceio/btrace,apache/jmeter,1
square/leakcanary,google/gson,1
termux/termux-app,kabouzeid/Phonograph,1
MinecraftForge/MinecraftForge,netty/netty,1
daniulive/SmarterStreaming,lipangit/JiaoZiVideoPlayer,1
bazelbuild/bazel,google/gson,1
bazelbuild/bazel,square/javapoet,1
apache/kylin,apache/hive,1
json-path/JsonPath,JanusGraph/janusgraph,1
mockito/mockito,btraceio/btrace,1
Karumi/Dexter,futuresimple/android-floating-action-button,1
apache/beam,flyway/flyway,1
firebase/quickstart-android,googlesamples/android-testing,1
ctripcorp/apollo,spring-cloud/spring-cloud-netflix,1
vert-x3/vertx-examples,ReactiveX/RxJava,1
alibaba/canal,Activiti/Activiti,1
springfox/springfox,OpenRefine/OpenRefine,1
pmd/pmd,ben-manes/caffeine,1
JakeWharton/ThreeTenABP,trello/RxLifecycle,1
CalebFenton/simplify,ctripcorp/apollo,1
bumptech/glide,shwenzhang/AndResGuard,1
elastic/elasticsearch,testcontainers/testcontainers-java,1
uber/AutoDispose,facebook/buck,1
btraceio/btrace,koral--/android-gif-drawable,1
apache/cordova-android,crate/crate,1
square/javapoet,bazelbuild/bazel,1
square/dagger,bazelbuild/bazel,1
ethereum/ethereumj,apereo/cas,1
square/retrofit,square/leakcanary,1
airbnb/native-navigation,permissions-dispatcher/PermissionsDispatcher,1
yanzhenjie/SwipeRecyclerView,yanzhenjie/Album,1
elastic/elasticsearch,medcl/elasticsearch-analysis-ik,1
pwittchen/ReactiveNetwork,pushtorefresh/storio,1
Freeyourgadget/Gadgetbridge,zxing/zxing,1
crate/crate,apache/jmeter,1
huangyanbin/smartTable,CymChad/BaseRecyclerViewAdapterHelper,1
uber/AutoDispose,resilience4j/resilience4j,1
mockito/mockito,naver/pinpoint,1
google/ExoPlayer,google/gson,1
bumptech/glide,JakeWharton/butterknife,1
davideas/FlexibleAdapter,tbruyelle/RxPermissions,1
apache/hive,apache/lucene-solr,1
zxing/zxing,apache/cordova-android,1
LuckSiege/PictureSelector,scwang90/SmartRefreshLayout,1
apache/jmeter,apache/hive,1
pushtorefresh/storio,koral--/android-gif-drawable,1
apache/jmeter,apache/kylin,1
eclipse/jetty.project,SeleniumHQ/selenium,1
uber/AutoDispose,JakeWharton/butterknife,1
CalebFenton/simplify,apache/incubator-skywalking,1
alibaba/canal,Graylog2/graylog2-server,1
FasterXML/jackson-databind,hibernate/hibernate-orm,1
apache/cordova-android,naver/pinpoint,1
square/tape,square/retrofit,1
spring-projects/spring-data-examples,tomakehurst/wiremock,1
lingochamp/FileDownloader,jeasonlzy/okhttp-OkGo,1
reactive-streams/reactive-streams-jvm,ReactiveX/RxJava,1
googlesamples/easypermissions,square/okhttp,1
crazycodeboy/react-native-splash-screen,DylanVann/react-native-fast-image,1
puniverse/quasar,google/gson,1
uber/AutoDispose,alibaba/atlas,1
resilience4j/resilience4j,ReactiveX/RxJava,1
alibaba/druid,apereo/cas,1
perwendel/spark,gocd/gocd,1
PhilJay/MPAndroidChart,aurelhubert/ahbottomnavigation,1
Netflix/zuul,Netflix/archaius,1
